COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
368-11											t ɨː n					
1778-11											b a ʔ					
1859-12												ŋ ai̯				
175-12												g ă				
241-12												ʔ u ʔ   ʔ  ʔ ʔ ʔ ʔ ʔ ʔ ʔ				
2163-12												kʰ ɛ				
2181-12												n ă m				
2060-12												ʔ a				
410-12												d ou̯				
1841-12												m a				
2017-12												h ə̆				
1004-12												t ă				
614-12												b ou̯ ʔ				
686-12												b a ai̯				
88-12												g ă h				
872-12												n i n				
1891-12												d ou̯				
68-12												s e				
631-12												p a t				
594-12												g ă				
1759-12												h ă n				
805-12												g i ɲ				
756-12												h ə̆				
1201-12												m a				
2042-12												ʔ a				
1968-12												d ou̯ ʔ				
2000-12												t ă ŋ				
17-12												v a t				
4-12												pʰ w m				
788-12												d ou̯				
1219-12												h i m				
141-12												ʔ a				
541-12												p r j a				
1687-12												h u				
123-12												g ă				
1652-12												c e				
576-12												ŋ au̯				
1738-12												d ou̯ t				
442-12												h ə̆ m				
368-12												d j a n				
1778-12												p ə̆ t				
1859-13													ŋ au̯			
175-13													g ă			
241-13													ʔ u ʔ			
2163-13													g u			
2181-13													n ă m			
2060-13													ʔ o m			
410-13													d ou̯			
1841-13													m ɛ			
2017-13													h			
1004-13													t a			
614-13													b ou̯ h			
686-13													p ou̯ ai̯			
88-13													g ă h			
872-13													n ɔ n			
1891-13													d ou̯			
68-13													s e			
631-13													p ɔ h			
594-13													g ă			
1759-13													h ă n			
805-13													g ă n			
756-13													h u			
1201-13													m ɛ ʔ			
2042-13													ʔ ă			
1968-13													d ou̯ ʔ			
2000-13													t ă n			
17-13													v ɔ t			
4-13													pʰ w m			
788-13													d ou̯			
1219-13													h i			
141-13													ʔ a			
541-13													p r j			
1687-13													h u			
123-13													d ă m			
1652-13													c ɨ			
576-13													ŋ au̯			
1738-13													d ou̯ t			
442-13													h ă m			
368-13													d ou̯ a n			
1778-13													p ə̆ t			
1859-14														ŋ aːi̯		
175-14														k a		
241-14														ʔ uː		
2163-14														g i		
2181-14														n a m		
2060-14														ʔ a		
410-14														d ɔ		
1841-14														m u		
2017-14														h		
1004-14														dʱ a ŋ		
614-14														b ɔ h		
686-14														b l eː		
88-14														k j ʔ		
872-14														n iː ŋ		
1891-14														ɗ ɔ ŋ		
68-14														s i m		
631-14														p u		
594-14														g j ŋ		
1759-14														h a n		
805-14														g i ɲ		
756-14														h		
1201-14														m ai̯ a ʔ		
2042-14														ʔ a		
1968-14														ɗ ɔ ʔ		
2000-14														dʱ ɔ ŋ		
17-14														v a t		
4-14														pʰ w m		
788-14														ɗ ɔ		
1219-14														h		
141-14														ʔ a ŋ		
541-14														p l j a p		
1687-14														h		
123-14														j a m		
1652-14														tɕ e ɲ		
576-14														ŋ ɔː t		
1738-14														ɗ ɔ k		
442-14														h		
368-14														ɗ ɔ a n		
1778-14														p r t		
1859-15															ŋ au̯	
175-15															g a	
241-15															ʔ ou̯ ʔ	
2163-15															kʰ ɛ	
2181-15															n a m	
2060-15															ʔ a m	
410-15															d oː	
1841-15															m a	
2017-15															h	
1004-15															l a	
614-15															b ou̯ h	
686-15															b e aːi̯	
88-15															g a ʔ	
872-15															n a ŋ	
1891-15															d oː	
68-15															s ei̯	
631-15															b e p	
594-15															g a	
1759-15															h a ɲ	
805-15															g ə ɲ	
756-15															h ou̯ ʔ	
1201-15															m a m	
2042-15															ʔ a	
1968-15															d a ʔ	
2000-15															t a ŋ	
17-15															v ai̯ c	
4-15															pʰ au̯ m	
788-15															d oː	
1219-15															h e	
141-15															ʔ a ŋ	
541-15															p r j a	
1687-15															h ə	
123-15															v a m	
1652-15															tɕ ɨː ɲ	
576-15															ŋ au̯	
1738-15															d oː j̊	
442-15															h ou̯ m	
368-15															t j a n	
1778-15															p ə c	
1859-16																ŋ aːi̯
175-16																g a
241-16																ʔ uː h
2163-16																g ou̯
2181-16																n a m
2060-16																ʔ a m
410-16																t oː
1841-16																m ɛː
2017-16																h ei̯
1004-16																ʔ a
614-16																b ou̯ ʔ
686-16																b l ei̯
88-16																g a n
872-16																n ɔ ŋ
1891-16																d ou̯
68-16																s ei̯
631-16																p o x
594-16																g a
1759-16																h a n
805-16																g ɔː ʔ
756-16																h a
1201-16																m u
2042-16																ʔ a
1968-16																t a ʔ
2000-16																tɕ a ŋ
17-16																v a t
4-16																pʰ w m
788-16																d oː
1219-16																h ei̯
141-16																ʔ a ŋ
541-16																p o j
1687-16																h ei̯
123-16																d a m
1652-16																tɕ ɨː ʔ
576-16																ŋ ɔ
1738-16																d a t
442-16																h ɔ m
368-16																d ou̯ a n
1778-16																p ə t
